"","flightsbinded.Date","flightsbinded.AIRLINE","flightsbinded.ORIGIN_AIRPORT","flightsbinded.DISTANCE","flightsbinded.DEPARTURE_DELAY","flightsbinded.TAXI_OUT","flightsbinded.WHEELS_OFF","flightsbinded.TAXI_IN","flightsbinded.WHEELS_OFF.1","flightsbinded.ARRIVAL_DELAY"
"1",2015-01-01,"OO","ONT",363,13,19,532,5,532,9
"2",2015-01-01,"OO","BOI",522,5,24,549,7,549,3
"3",2015-01-01,"OO","SAT",1482,7,9,606,16,606,-19
"4",2015-01-01,"F9","IAH",1635,-8,16,608,9,608,-6
"5",2015-01-01,"OO","TUS",751,4,22,626,6,626,6
"6",2015-01-01,"OO","AUS",1504,-4,21,617,3,617,-16
"7",2015-01-01,"OO","FAT",158,0,40,640,4,640,7
"8",2015-01-01,"OO","ACV",250,-10,29,619,5,619,10
"9",2015-01-01,"OO","PSC",620,-4,37,633,4,633,-1
"10",2015-01-01,"OO","EUG",451,-3,19,616,4,616,-7
"11",2015-01-01,"OO","MRY",77,-5,13,608,5,608,-12
"12",2015-01-01,"OO","MFR",329,-3,26,623,5,623,-6
"13",2015-01-01,"UA","EWR",2565,1,11,613,12,613,-20
"14",2015-01-01,"OO","PSP",421,31,11,643,4,643,17
"15",2015-01-01,"UA","LAX",337,-2,13,614,8,614,-14
"16",2015-01-01,"UA","JFK",2586,0,20,625,12,625,-4
"17",2015-01-01,"AS","SEA",679,-3,21,623,7,623,-3
"18",2015-01-01,"OO","RDM",462,-9,14,613,6,613,-23
"19",2015-01-01,"UA","LAS",414,-4,13,619,5,619,-20
"20",2015-01-01,"OO","BFL",238,-7,30,638,3,638,-10
"21",2015-01-01,"OO","RNO",192,-11,33,652,4,652,-6
"22",2015-01-01,"OO","SNA",372,12,16,713,3,713,-1
"23",2015-01-01,"OO","FAT",158,-3,30,715,5,715,-7
"24",2015-01-01,"UA","PHX",651,61,27,818,5,818,48
"25",2015-01-01,"AA","LAX",337,-6,21,705,3,705,-7
"26",2015-01-01,"UA","RDU",2400,0,17,714,11,714,-5
"27",2015-01-01,"B6","JFK",2586,0,16,715,14,715,-24
"28",2015-01-01,"UA","PDX",550,-2,15,713,5,713,-17
"29",2015-01-01,"VX","LAS",414,-1,13,712,6,712,-6
"30",2015-01-01,"UA","MCO",2446,328,13,1241,8,1241,306
"31",2015-01-01,"AS","PSP",421,-9,10,701,8,701,-19
"32",2015-01-01,"DL","JFK",2586,0,33,733,10,733,-17
"33",2015-01-01,"OO","BUR",326,-10,28,718,6,718,-1
"34",2015-01-01,"OO","SBA",262,-4,20,716,9,716,1
"35",2015-01-01,"UA","ORD",1846,8,14,727,8,727,-12
"36",2015-01-01,"UA","CLE",2161,0,12,727,10,727,-28
"37",2015-01-01,"UA","SEA",679,-1,13,727,3,727,-27
"38",2015-01-01,"AA","MIA",2585,32,14,801,5,801,21
"39",2015-01-01,"UA","IAH",1635,0,15,735,7,735,-27
"40",2015-01-01,"AS","SEA",679,8,23,751,25,751,26
"41",2015-01-01,"UA","HNL",2398,3,18,746,6,746,-13
"42",2015-01-01,"AS","PDX",550,-1,9,733,9,733,-25
"43",2015-01-01,"UA","ATL",2139,12,22,803,10,803,9
"44",2015-01-01,"OO","MSP",1589,-1,25,754,17,754,-18
"45",2015-01-01,"OO","DFW",1464,0,37,807,6,807,-2
"46",2015-01-01,"OO","STL",1735,0,15,746,5,746,-8
"47",2015-01-01,"OO","OKC",1384,3,35,818,8,818,-7
"48",2015-01-01,"AS","SLC",599,16,29,835,7,835,4
"49",2015-01-01,"UA","DEN",967,15,18,828,7,828,-9
"50",2015-01-01,"AA","DFW",1464,46,35,916,8,916,49
"51",2015-01-01,"UA","SNA",372,9,10,819,6,819,-1
"52",2015-01-01,"UA","IND",1943,-4,11,807,10,807,-34
"53",2015-01-01,"UA","SAN",447,-2,15,813,27,813,9
"54",2015-01-01,"UA","LAS",414,-4,16,812,4,812,-30
"55",2015-01-01,"VX","AUS",1504,-1,14,813,9,813,-16
"56",2015-01-01,"UA","BOS",2704,9,13,822,9,822,-10
"57",2015-01-01,"AA","JFK",2586,-5,57,852,8,852,48
"58",2015-01-01,"F9","DEN",967,-2,13,811,9,811,-26
"59",2015-01-01,"OO","PSP",421,180,18,1118,12,1118,179
